species label;genus label;family label;species;genus;family;classid
0;0;0;Unxia camphorata L.f.;Unxia;Compositae;102689
1;1;1;Connarus fasciculatus (DC.) Planch.;Connarus;Connaraceae;104587
2;2;2;Jacquemontia tamnifolia (L.) Griseb.;Jacquemontia;Convolvulaceae;105927
3;3;2;Maripa glabra Choisy;Maripa;Convolvulaceae;105951
4;3;2;Maripa violacea (Aubl.) Ooststr. ex Lanj. & Uittien;Maripa;Convolvulaceae;105965
5;4;2;Merremia umbellata (L.) Hallier f.;Merremia;Convolvulaceae;106023
6;5;3;Costus arabicus L.;Costus;Costaceae;106387
7;5;3;Costus claviger Benoist;Costus;Costaceae;106398
8;5;3;Costus erythrothyrsus Loes.;Costus;Costaceae;106413
9;5;3;Costus scaber Ruiz & Pav.;Costus;Costaceae;106461
10;5;3;Costus spiralis (Jacq.) Roscoe;Costus;Costaceae;106466
11;6;4;Bryophyllum pinnatum (Lam.) Oken;Bryophyllum;Crassulaceae;106690
12;7;5;Gurania reticulata Cogn.;Gurania;Cucurbitaceae;108581
13;8;5;Melothria pendula L.;Melothria;Cucurbitaceae;108743
14;9;6;Cyathea microdonta (Desv.) Domin;Cyathea;Cyatheaceae;109922
15;9;6;Cyathea pungens (Willd.) Domin;Cyathea;Cyatheaceae;109976
16;9;6;Cyathea surinamensis (Miq.) Domin;Cyathea;Cyatheaceae;110027
17;10;7;Evodianthus funifer (Poit.) Lindm.;Evodianthus;Cyclanthaceae;110432
18;11;8;Hymenocallis tubiflora Salisb.;Hymenocallis;Amaryllidaceae;11438
19;12;9;Pteridium arachnoideum (Kaulf.) Maxon;Pteridium;Dennstaedtiaceae;116853
20;13;10;Tapura guianensis Aubl.;Tapura;Dichapetalaceae;117064
21;14;11;Davilla kunthii A.St.-Hil.;Davilla;Dilleniaceae;117166
22;15;12;Cyclodium meniscioides (Willd.) C. Presl;Cyclodium;Dryopteridaceae;118800
23;16;12;Olfersia cervina (L.) Kunze;Olfersia;Dryopteridaceae;119986
24;17;12;Polybotrya caudata Kunze;Polybotrya;Dryopteridaceae;120031
25;17;12;Polybotrya osmundacea Humb. & Bonpl. ex Willd.;Polybotrya;Dryopteridaceae;120045
26;18;13;Diospyros capreifolia Mart. ex Hiern;Diospyros;Ebenaceae;120497
27;18;13;Diospyros carbonaria Benoist;Diospyros;Ebenaceae;120499
28;18;13;Diospyros cayennensis A.DC.;Diospyros;Ebenaceae;120508
29;18;13;Diospyros dichroa Sandwith;Diospyros;Ebenaceae;120562
30;18;13;Diospyros discolor Willd.;Diospyros;Ebenaceae;120569
31;18;13;Diospyros lissocarpoides Sandwith;Diospyros;Ebenaceae;120745
32;18;13;Diospyros matheriana A.C.Sm.;Diospyros;Ebenaceae;120786
33;18;13;Diospyros sericea A.DC.;Diospyros;Ebenaceae;120980
34;18;13;Diospyros tetrandra Hiern;Diospyros;Ebenaceae;121037
35;18;13;Diospyros vestita Benoist;Diospyros;Ebenaceae;121088
36;19;14;Sloanea eichleri K.Schum.;Sloanea;Elaeocarpaceae;121825
37;19;14;Sloanea grandiflora Sm.;Sloanea;Elaeocarpaceae;121836
38;19;14;Sloanea guianensis (Aubl.) Benth.;Sloanea;Elaeocarpaceae;121841
39;19;14;Sloanea latifolia (Rich.) K.Schum.;Sloanea;Elaeocarpaceae;121854
40;20;15;Anacardium occidentale L.;Anacardium;Anacardiaceae;12254
41;21;16;Cavendishia callista Donn.Sm.;Cavendishia;Ericaceae;122564
42;22;15;Mangifera indica L.;Mangifera;Anacardiaceae;12518
43;23;16;Sphyrospermum cordifolium Benth.;Sphyrospermum;Ericaceae;125412
44;24;17;Syngonanthus caulescens (Poir.) Ruhland;Syngonanthus;Eriocaulaceae;126895
45;25;17;Tonina fluviatilis Aubl.;Tonina;Eriocaulaceae;127007
46;26;18;Erythroxylum amazonicum Peyr.;Erythroxylum;Erythroxylaceae;127020
47;26;18;Erythroxylum fimbriatum Peyr.;Erythroxylum;Erythroxylaceae;127097
48;26;18;Erythroxylum macrophyllum Cav.;Erythroxylum;Erythroxylaceae;127151
49;26;18;Erythroxylum squamatum Sw.;Erythroxylum;Erythroxylaceae;127242
50;27;19;Conceveiba martiana Baill.;Conceveiba;Euphorbiaceae;128664
51;28;15;Spondias mombin L.;Spondias;Anacardiaceae;12910
52;29;15;Tapirira guianensis Aubl.;Tapirira;Anacardiaceae;12922
53;29;15;Tapirira obtusa (Benth.) J.D.Mitch.;Tapirira;Anacardiaceae;12924
54;30;15;Thyrsodium guianense Sagot ex Marchand;Thyrsodium;Anacardiaceae;12932
55;31;19;Croton matourensis Aubl.;Croton;Euphorbiaceae;129339
56;30;15;Thyrsodium spruceanum Benth.;Thyrsodium;Anacardiaceae;12937
57;31;19;Croton nuntians Croizat;Croton;Euphorbiaceae;129442
58;31;19;Croton schiedeanus Schltdl.;Croton;Euphorbiaceae;129645
59;32;19;Dalechampia tiliifolia Lam.;Dalechampia;Euphorbiaceae;130017
60;33;19;Euphorbia cotinifolia L.;Euphorbia;Euphorbiaceae;130657
61;33;19;Euphorbia heterophylla L.;Euphorbia;Euphorbiaceae;131079
62;33;19;Euphorbia hyssopifolia L.;Euphorbia;Euphorbiaceae;131128
63;33;19;Euphorbia prostrata Aiton;Euphorbia;Euphorbiaceae;131736
64;33;19;Euphorbia thymifolia L.;Euphorbia;Euphorbiaceae;132107
65;33;19;Euphorbia tithymaloides L.;Euphorbia;Euphorbiaceae;132113
66;34;19;Glycydendron amazonicum Ducke;Glycydendron;Euphorbiaceae;132325
67;35;20;Anaxagorea dolichocarpa Sprague & Sandwith;Anaxagorea;Annonaceae;13239
68;36;19;Hura crepitans L.;Hura;Euphorbiaceae;132431
69;37;19;Jatropha curcas L.;Jatropha;Euphorbiaceae;132476
70;37;19;Jatropha gossypiifolia L.;Jatropha;Euphorbiaceae;132501
71;38;19;Mabea subsessilis Pax & K.Hoffm.;Mabea;Euphorbiaceae;132735
72;39;20;Annona ambotay Aubl.;Annona;Annonaceae;13276
73;40;19;Manihot baccata Allem;Manihot;Euphorbiaceae;133181
74;39;20;Annona foetida Mart.;Annona;Annonaceae;13325
75;41;19;Maprounea guianensis Aubl.;Maprounea;Euphorbiaceae;133287
76;39;20;Annona glabra L.;Annona;Annonaceae;13330
77;39;20;Annona haematantha Miq.;Annona;Annonaceae;13336
78;42;19;Omphalea diandra L.;Omphalea;Euphorbiaceae;133414
79;43;19;Ricinus communis L.;Ricinus;Euphorbiaceae;133595
80;44;19;Sagotia racemosa Baill.;Sagotia;Euphorbiaceae;133604
81;45;19;Sandwithia guyanensis Lanj.;Sandwithia;Euphorbiaceae;133607
82;46;19;Sapium glandulosum (L.) Morong;Sapium;Euphorbiaceae;133617
83;46;19;Sapium paucinervium Hemsl.;Sapium;Euphorbiaceae;133630
84;39;20;Annona muricata L.;Annona;Annonaceae;13370
85;39;20;Annona neoelliptica H.Rainer & Maas;Annona;Annonaceae;13376
86;39;20;Annona paludosa Aubl.;Annona;Annonaceae;13390
87;39;20;Annona prevostiae H.Rainer;Annona;Annonaceae;13401
88;39;20;Annona sericea Dunal;Annona;Annonaceae;13420
89;47;21;Chelonanthus alatus (Aubl.) Pulle;Chelonanthus;Gentianaceae;135479
90;48;20;Cremastosperma brevipes (DC. ex Dunal) R.E.Fr.;Cremastosperma;Annonaceae;13597
91;49;20;Cymbopetalum brasiliense (Vell.) Benth. ex Baill.;Cymbopetalum;Annonaceae;13656
92;50;21;Potalia amara Aubl.;Potalia;Gentianaceae;136761
93;51;21;Tachia guianensis Aubl.;Tachia;Gentianaceae;137051
94;52;21;Voyria caerulea Aubl.;Voyria;Gentianaceae;137122
95;52;21;Voyria rosea Aubl.;Voyria;Gentianaceae;137133
96;53;20;Duguetia calycina Benoist;Duguetia;Annonaceae;13796
97;53;20;Duguetia eximia Diels;Duguetia;Annonaceae;13811
98;53;20;Duguetia inconspicua Sagot;Duguetia;Annonaceae;13820
99;54;22;Chrysothemis pulchella (Donn ex Sims) Decne.;Chrysothemis;Gesneriaceae;138662
100;53;20;Duguetia surinamensis R.E.Fr.;Duguetia;Annonaceae;13870
101;53;20;Duguetia yeshidan Sandwith;Duguetia;Annonaceae;13879
102;55;20;Ephedranthus guianensis R.E.Fr.;Ephedranthus;Annonaceae;13907
103;56;22;Lembocarpus amoenus Leeuwenb.;Lembocarpus;Gesneriaceae;140367
104;57;20;Fusaea longifolia (Aubl.) Saff.;Fusaea;Annonaceae;14044
105;58;22;Sinningia incarnata (Aubl.) D.L.Denham;Sinningia;Gesneriaceae;141068
106;59;23;Dicranopteris flexuosa (Schrad.) Underw.;Dicranopteris;Gleicheniaceae;141332
107;59;23;Dicranopteris pectinata (Willd.) Underw.;Dicranopteris;Gleicheniaceae;141336
108;60;24;Gnetum urens (Aubl.) Blume;Gnetum;Gnetaceae;141508
109;61;25;Goupia glabra Aubl.;Goupia;Goupiaceae;141856
110;62;26;Heliconia chartacea Lane ex Barreiros;Heliconia;Heliconiaceae;142550
111;62;26;Heliconia densiflora Verl.;Heliconia;Heliconiaceae;142564
112;62;26;Heliconia hirsuta L.f.;Heliconia;Heliconiaceae;142584
113;62;26;Heliconia pendula Wawra;Heliconia;Heliconiaceae;142646
114;62;26;Heliconia psittacorum L.f.;Heliconia;Heliconiaceae;142653
115;62;26;Heliconia richardiana Miq.;Heliconia;Heliconiaceae;142661
116;63;27;Hernandia guianensis Aubl.;Hernandia;Hernandiaceae;142736
117;64;27;Sparattanthelium uncigerum (Meisn.) Kubitzki;Sparattanthelium;Hernandiaceae;142779
118;65;20;Guatteria guianensis (Aubl.) R.E.Fr.;Guatteria;Annonaceae;14287
119;65;20;Guatteria intermedia Scharf;Guatteria;Annonaceae;14294
120;65;20;Guatteria liesneri D.M.Johnson & N.A.Murray;Guatteria;Annonaceae;14314
121;66;28;Hymenophyllum decurrens (Jacq.) Sw.;Hymenophyllum;Hymenophyllaceae;143466
122;66;28;Hymenophyllum hirsutum (L.) Sw.;Hymenophyllum;Hymenophyllaceae;143496
123;65;20;Guatteria ouregou (Aubl.) Dunal;Guatteria;Annonaceae;14353
124;65;20;Guatteria pannosa Scharf & Maas;Guatteria;Annonaceae;14359
125;67;28;Trichomanes ankersii C. Parker ex Hook. & Grev.;Trichomanes;Hymenophyllaceae;143674
126;67;28;Trichomanes arbuscula Desv.;Trichomanes;Hymenophyllaceae;143676
127;67;28;Trichomanes crispum L.;Trichomanes;Hymenophyllaceae;143697
128;67;28;Trichomanes diversifrons (Bory) Mett. ex Sadeb.;Trichomanes;Hymenophyllaceae;143706
129;67;28;Trichomanes elegans Rich.;Trichomanes;Hymenophyllaceae;143710
130;67;28;Trichomanes krausii Hook. & Grev.;Trichomanes;Hymenophyllaceae;143731
131;67;28;Trichomanes pedicellatum Desv.;Trichomanes;Hymenophyllaceae;143749
132;67;28;Trichomanes pinnatum Hedw.;Trichomanes;Hymenophyllaceae;143755
133;67;28;Trichomanes punctatum Poir.;Trichomanes;Hymenophyllaceae;143758
134;67;28;Trichomanes trollii Bergdolt;Trichomanes;Hymenophyllaceae;143780
135;67;28;Trichomanes vittaria DC. ex Poir.;Trichomanes;Hymenophyllaceae;143783
136;65;20;Guatteria scandens Ducke;Guatteria;Annonaceae;14401
137;65;20;Guatteria schomburgkiana Mart.;Guatteria;Annonaceae;14402
138;68;29;Vismia cayennensis (Jacq.) Pers.;Vismia;Hypericaceae;144341
139;68;29;Vismia latifolia (Aubl.) Choisy;Vismia;Hypericaceae;144357
140;68;29;Vismia ramuliflora Miq.;Vismia;Hypericaceae;144377
141;68;29;Vismia sessilifolia (Aubl.) Choisy;Vismia;Hypericaceae;144384
142;69;30;Didymochlaena truncatula (Sw.) J. Sm.;Didymochlaena;Hypodematiaceae;144394
143;70;31;Emmotum fagifolium Desv. ex Ham.;Emmotum;Icacinaceae;144643
144;71;32;Cipura paludosa Aubl.;Cipura;Iridaceae;145020
145;72;32;Eleutherine bulbosa (Mill.) Urb.;Eleutherine;Iridaceae;145231
146;73;20;Oxandra asbeckii (Pulle) R.E.Fr.;Oxandra;Annonaceae;14741
147;73;20;Oxandra xylopioides Diels;Oxandra;Annonaceae;14766
148;74;33;Lacistema aggregatum (P.J.Bergius) Rusby;Lacistema;Lacistemataceae;148077
149;74;33;Lacistema grandifolium Schnizl.;Lacistema;Lacistemataceae;148080
150;74;33;Lacistema polystachyum Schnizl.;Lacistema;Lacistemataceae;148086
151;75;34;Aegiphila macrantha Ducke;Aegiphila;Lamiaceae;148220
152;75;34;Aegiphila villosa (Aubl.) J.F.Gmel.;Aegiphila;Lamiaceae;148291
153;76;34;Amasonia campestris (Aubl.) Moldenke;Amasonia;Lamiaceae;148446
154;77;34;Clerodendrum paniculatum L.;Clerodendrum;Lamiaceae;148977
155;78;34;Congea tomentosa Roxb.;Congea;Lamiaceae;149264
156;79;20;Pseudoxandra cuspidata Maas;Pseudoxandra;Annonaceae;14939
157;80;34;Gmelina philippensis Cham.;Gmelina;Lamiaceae;149682
158;81;34;Holmskioldia sanguinea Retz.;Holmskioldia;Lamiaceae;149919
159;82;34;Hyptis lanceolata Poir.;Hyptis;Lamiaceae;150135
160;83;20;Rollinia mucosa (Jacq.) Baill.;Rollinia;Annonaceae;15014
161;82;34;Hyptis mutabilis (Rich.) Briq.;Hyptis;Lamiaceae;150179
162;84;34;Marsypianthes chamaedrys (Vahl) Kuntze;Marsypianthes;Lamiaceae;150888
163;85;20;Trigynaea caudata (R.E. Fr.) R.E. Fr.;Trigynaea;Annonaceae;15089
164;85;20;Trigynaea duckei (R.E.Fr.) R.E.Fr.;Trigynaea;Annonaceae;15091
165;86;20;Unonopsis glaucopetala R.E.Fr.;Unonopsis;Annonaceae;15119
166;86;20;Unonopsis guatterioides (A.DC.) R.E.Fr.;Unonopsis;Annonaceae;15120
167;86;20;Unonopsis perrottetii (A. DC.) R.E. Fr.;Unonopsis;Annonaceae;15135
168;86;20;Unonopsis rufescens (Baill.) R.E. Fr.;Unonopsis;Annonaceae;15140
169;87;34;Ocimum campechianum Mill.;Ocimum;Lamiaceae;151469
170;86;20;Unonopsis stipitata Diels;Unonopsis;Annonaceae;15147
171;88;34;Orthosiphon aristatus (Blume) Miq.;Orthosiphon;Lamiaceae;151593
172;89;34;Plectranthus amboinicus (Lour.) Spreng.;Plectranthus;Lamiaceae;152143
173;90;20;Xylopia aromatica (Lam.) Mart.;Xylopia;Annonaceae;15318
174;90;20;Xylopia cayennensis Maas;Xylopia;Annonaceae;15330
175;90;20;Xylopia crinita R.E.Fr.;Xylopia;Annonaceae;15336
176;90;20;Xylopia frutescens Aubl.;Xylopia;Annonaceae;15355
177;90;20;Xylopia nitida Dunal;Xylopia;Annonaceae;15382
178;90;20;Xylopia surinamensis R.E. Fr.;Xylopia;Annonaceae;15409
179;91;34;Vitex orinocensis Kunth;Vitex;Lamiaceae;156069
180;92;35;Aiouea guianensis Aubl.;Aiouea;Lauraceae;156425
181;92;35;Aiouea longipetiolata van der Werff;Aiouea;Lauraceae;156430
182;92;35;Aiouea opaca van der Werff;Aiouea;Lauraceae;156435
183;93;35;Aniba citrifolia (Nees) Mez;Aniba;Lauraceae;156507
184;93;35;Aniba guianensis Aubl.;Aniba;Lauraceae;156516
185;93;35;Aniba kappleri Mez;Aniba;Lauraceae;156523
186;93;35;Aniba megaphylla Mez;Aniba;Lauraceae;156526
187;93;35;Aniba panurensis (Meisn.) Mez;Aniba;Lauraceae;156529
188;93;35;Aniba parviflora (Meisn.) Mez;Aniba;Lauraceae;156530
189;93;35;Aniba taubertiana Mez;Aniba;Lauraceae;156543
190;94;35;Endlicheria canescens Chanderbali;Endlicheria;Lauraceae;157810
191;94;35;Endlicheria punctulata (Mez) C.K.Allen;Endlicheria;Lauraceae;157841
192;94;35;Endlicheria pyriformis (Nees) Mez;Endlicheria;Lauraceae;157842
193;95;35;Kubitzkia mezii (Kosterm.) van der Werff;Kubitzkia;Lauraceae;157870
194;96;35;Licaria chrysophylla (Meisn.) Kosterm.;Licaria;Lauraceae;157894
195;96;35;Licaria martiniana (Mez) Kosterm.;Licaria;Lauraceae;157911
196;96;35;Licaria pachycarpa (Meisn.) Kosterm.;Licaria;Lauraceae;157917
197;97;35;Nectandra amazonum Nees;Nectandra;Lauraceae;158323
198;97;35;Nectandra cissiflora Nees;Nectandra;Lauraceae;158341
199;98;35;Ocotea amazonica (Meisn.) Mez;Ocotea;Lauraceae;158534
200;98;35;Ocotea argyrophylla Ducke;Ocotea;Lauraceae;158542
201;98;35;Ocotea cernua (Nees) Mez;Ocotea;Lauraceae;158592
202;98;35;Ocotea cinerea van der Werff;Ocotea;Lauraceae;158596
203;98;35;Ocotea cujumary Mart.;Ocotea;Lauraceae;158612
204;98;35;Ocotea diffusa van der Werff;Ocotea;Lauraceae;158629
205;98;35;Ocotea floribunda (Sw.) Mez;Ocotea;Lauraceae;158653
206;98;35;Ocotea glomerata (Nees) Mez;Ocotea;Lauraceae;158668
207;98;35;Ocotea leucoxylon (Sw.) Laness.;Ocotea;Lauraceae;158728
208;98;35;Ocotea longifolia Kunth;Ocotea;Lauraceae;158736
209;98;35;Ocotea nigra Benoist;Ocotea;Lauraceae;158784
210;98;35;Ocotea oblonga (Meisn.) Mez;Ocotea;Lauraceae;158793
211;98;35;Ocotea percurrens Vicent.;Ocotea;Lauraceae;158816
212;98;35;Ocotea puberula (Rich.) Nees;Ocotea;Lauraceae;158833
213;98;35;Ocotea scabrella van der Werff;Ocotea;Lauraceae;158866
214;98;35;Ocotea splendens (Meisn.) Baill.;Ocotea;Lauraceae;158884
215;98;35;Ocotea subterminalis van der Werff;Ocotea;Lauraceae;158894
216;99;35;Rhodostemonodaphne grandis (Mez) Rohwer;Rhodostemonodaphne;Lauraceae;159248
217;100;36;Couratari guianensis Aubl.;Couratari;Lecythidaceae;159434
218;100;36;Couratari multiflora (Sm.) Eyma;Couratari;Lecythidaceae;159437
219;100;36;Couratari stellata A.C.Sm.;Couratari;Lecythidaceae;159445
220;101;36;Eschweilera coriacea (DC.) S.A.Mori;Eschweilera;Lecythidaceae;159483
221;101;36;Eschweilera decolorans Sandwith;Eschweilera;Lecythidaceae;159486
222;101;36;Eschweilera grandiflora (Aubl.) Sandwith;Eschweilera;Lecythidaceae;159490
223;101;36;Eschweilera micrantha (O.Berg) Miers;Eschweilera;Lecythidaceae;159505
224;101;36;Eschweilera parviflora (Aubl.) Miers;Eschweilera;Lecythidaceae;159516
225;101;36;Eschweilera pedicellata (Rich.) S.A.Mori;Eschweilera;Lecythidaceae;159518
226;101;36;Eschweilera sagotiana Miers;Eschweilera;Lecythidaceae;159535
227;101;36;Eschweilera squamata S.A.Mori;Eschweilera;Lecythidaceae;159539
228;101;36;Eschweilera subglandulosa (Steud. ex O.Berg) Miers;Eschweilera;Lecythidaceae;159541
229;102;36;Gustavia augusta L.;Gustavia;Lecythidaceae;159581
230;102;36;Gustavia hexapetala (Aubl.) Sm.;Gustavia;Lecythidaceae;159597
231;103;36;Lecythis chartacea O.Berg;Lecythis;Lecythidaceae;159625
232;103;36;Lecythis corrugata Poit.;Lecythis;Lecythidaceae;159627
233;103;36;Lecythis holcogyne (Sandwith) S.A.Mori;Lecythis;Lecythidaceae;159629
234;103;36;Lecythis idatimon Aubl.;Lecythis;Lecythidaceae;159630
235;103;36;Lecythis persistens Sagot;Lecythis;Lecythidaceae;159637
236;103;36;Lecythis poiteaui O.Berg;Lecythis;Lecythidaceae;159640
237;103;36;Lecythis zabucajo Aubl.;Lecythis;Lecythidaceae;159647
238;104;37;Abarema gallorum Barneby & J.W.Grimes;Abarema;Leguminosae;159714
239;104;37;Abarema jupunba (Willd.) Britton & Killip;Abarema;Leguminosae;159719
240;105;37;Acacia mangium Willd.;Acacia;Leguminosae;160570
241;105;37;Acacia tenuifolia (L.) Willd.;Acacia;Leguminosae;161033
242;106;37;Alexa wachenheimii Benoist;Alexa;Leguminosae;162067
243;107;37;Bauhinia guianensis Aubl.;Bauhinia;Leguminosae;166135
244;108;37;Bocoa prouacensis Aubl.;Bocoa;Leguminosae;166405
245;109;37;Caesalpinia pulcherrima (L.) Sw.;Caesalpinia;Leguminosae;166822
246;110;37;Cajanus cajan (L.) Millsp.;Cajanus;Leguminosae;166869
247;111;37;Calliandra surinamensis Benth.;Calliandra;Leguminosae;167094
248;112;37;Cassia grandis L.f.;Cassia;Leguminosae;167503
249;112;37;Cassia spruceana Benth.;Cassia;Leguminosae;167549
250;113;37;Chamaecrista apoucouita (Aubl.) H.S.Irwin & Barneby;Chamaecrista;Leguminosae;167721
251;113;37;Chamaecrista desvauxii (Collad.) Killip;Chamaecrista;Leguminosae;167811
